Speaker,Individual,We,They,Non-Fluences,PosEmotion,NegEmotion,Anxiety,Anger,Sadness,Cognitive,Inhibition,Preceptual,Relativity,Work,Swear,Articles,Verbs,Averbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers
P1,4,12,1,17,5,0,1,0,0,1,0,0,0,5,0,34,64,43,55,35,0,1,7
P10,13,25,3,74,3,0,0,0,0,8,0,0,0,11,0,55,142,76,91,73,0,8,5
P11,17,18,0,28,1,0,0,0,0,1,0,0,2,4,0,38,92,58,90,46,0,4,3
P12,8,9,8,13,7,1,0,0,0,6,0,0,0,3,0,39,88,34,66,46,0,1,4
P13,8,10,5,21,0,1,0,0,0,4,0,0,2,5,0,29,71,45,58,40,0,0,2
P14,8,8,2,14,2,0,1,0,0,6,0,0,0,9,0,36,66,57,48,48,1,5,9
P15,18,15,4,50,2,1,0,1,0,11,0,1,3,3,0,56,155,77,111,68,1,1,2
P16,6,18,9,56,13,0,1,0,0,5,0,0,0,9,0,58,168,136,104,92,1,7,10
P17,12,4,7,24,0,0,1,0,0,6,0,5,1,6,0,23,67,48,44,35,1,3,4
P20,4,7,0,18,4,0,0,0,0,3,0,0,0,3,0,29,64,37,51,39,0,0,1
P21,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14,7,5,6,0,0,1
P22,8,27,14,33,0,0,0,0,0,3,0,0,2,11,0,48,147,76,111,83,0,8,6
P24,4,6,5,8,6,0,0,0,0,7,0,0,1,2,0,37,55,58,60,42,0,1,4
P25,9,28,1,74,0,0,1,0,0,0,0,0,0,14,0,63,139,78,88,64,2,1,3
P27,10,5,1,15,3,0,0,2,0,0,0,1,0,8,0,18,50,31,44,28,0,0,3
P29,15,16,2,12,7,0,0,0,0,4,0,0,0,3,0,30,87,63,62,45,1,3,7
P3,14,26,3,83,3,0,0,0,0,11,0,2,5,1,0,53,184,151,112,83,1,10,11
P30,2,11,0,2,2,0,0,0,0,0,0,1,0,8,0,20,40,27,26,19,0,3,4
P31,15,15,5,44,1,0,1,1,0,6,0,0,1,7,0,48,120,72,106,72,1,0,14
P32,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,6,6,0,0,1
P33,6,15,2,42,5,0,0,0,0,19,0,0,1,3,0,40,104,89,86,55,0,2,7
