Speaker,Total Words,Unique Words,Filler Words,Audio Duration (s),Duration/Total Words,Duration/Unique Words,Duration/Filler Words
P1,533,239,18,161.134,3.31,1.48,0.11
P3,1246,361,83,439.648,2.83,0.82,0.19
P4,698,251,54,226.21,3.09,1.11,0.24
P5,416,205,8,144.048,2.89,1.42,0.06
P6,1096,354,36,399.868,2.74,0.89,0.09
P7,770,297,23,232.972,3.31,1.27,0.1
P8,728,280,57,284.7,2.56,0.98,0.2
P10,1000,316,76,377.302,2.65,0.84,0.2
P11,708,258,28,238.762,2.97,1.08,0.12
P12,595,218,13,161.428,3.69,1.35,0.08
P13,540,224,21,236.474,2.28,0.95,0.09
P14,579,230,15,206.382,2.81,1.11,0.07
P15,1048,351,51,425.726,2.46,0.82,0.12
P16,1228,355,60,444.828,2.76,0.8,0.13
P17,488,214,24,211.268,2.31,1.01,0.11
P20,477,196,19,167.238,2.85,1.17,0.11
P21,97,56,0,60.956,1.59,0.92,0
P22,1013,359,33,364.492,2.78,0.98,0.09
P24,518,211,8,179.048,2.89,1.18,0.04
P25,1017,332,74,346.874,2.93,0.96,0.21
P27,394,183,15,156.062,2.52,1.17,0.1
P29,624,250,12,201.672,3.09,1.24,0.06
P30,296,153,3,113.032,2.62,1.35,0.03
P31,958,315,44,356.328,2.69,0.88,0.12
P32,62,40,0,19.41,3.19,2.06,0
P33,817,260,42,276.578,2.95,0.94,0.15
P34,1115,376,48,369.208,3.02,1.02,0.13
P35,79,45,0,24.454,3.23,1.84,0
P37,525,229,25,203.37,2.58,1.13,0.12
P42,1132,372,34,423.398,2.67,0.88,0.08
P43,530,217,28,176.792,3.0,1.23,0.16
P44,838,305,39,348.37,2.41,0.88,0.11
P45,940,364,25,279.202,3.37,1.3,0.09
P47,126,73,0,46.776,2.69,1.56,0
P48,772,259,15,241.25,3.2,1.07,0.06
P49,1394,430,29,563.47,2.47,0.76,0.05
P50,1000,333,49,337.178,2.97,0.99,0.15
P52,681,254,24,222.272,3.06,1.14,0.11
P53,719,246,23,203.282,3.54,1.21,0.11
P55,412,189,13,145.812,2.83,1.3,0.09
P56,777,282,20,313.742,2.48,0.9,0.06
P57,938,331,16,279.03,3.36,1.19,0.06
P58,77,53,0,22.76,3.38,2.33,0
P59,456,198,7,153.168,2.98,1.29,0.05
P60,71,47,0,14.964,4.74,3.14,0
P61,205,115,5,83.1,2.47,1.38,0.06
P62,1070,307,58,445.828,2.4,0.69,0.13
P63,909,301,40,361.648,2.51,0.83,0.11
P64,1603,429,87,561.842,2.85,0.76,0.15
P65,1513,459,58,552.142,2.74,0.83,0.11
P66,1564,413,62,417.666,3.74,0.99,0.15
P67,1845,454,64,582.232,3.17,0.78,0.11
P69,603,219,21,253.622,2.38,0.86,0.08
P70,62,42,1,14.276,4.34,2.94,0.07
P71,457,204,14,178.508,2.56,1.14,0.08
P72,55,38,0,16.162,3.4,2.35,0
P73,607,246,4,167.973,3.61,1.46,0.02
P74,372,181,8,143.284,2.6,1.26,0.06
P76,587,212,2,186.318,3.15,1.14,0.01
P77,63,43,0,18.724,3.36,2.3,0
